is_stress_test,use_multilayer,use_high_capacity,n_drones,num_units,missiles_per_unit_avg,total_missiles,priority_strategy,weather_factor,terrain_factor,radar_jam,comm_jam_level,temp_factor,system_latency,resource_failure,formation,avg_drone_speed,avg_stealth,avg_accuracy,pct_light,pct_medium,pct_heavy,pct_aggressive,pct_evasive,pct_coordinated,num_detected,detection_rate,num_intercepted,num_passed,success_rate,civil_risk,missiles_used,missile_efficiency
False,False,False,102,9,11,99,fastest_first,0.7836995567863468,0.6668543055695109,0.12945230686545983,0.9385527090157502,0.8961830830344203,1.0495493205167783,0,tight,66.72417691098377,0.6696683489897935,0.7575793826057465,0.46078431372549017,0.35294117647058826,0.18627450980392157,0.3235294117647059,0.3235294117647059,0.35294117647058826,21,0.20588235294117646,3,99,0.029411764705882353,0.7365586677960403,3,1.0
False,False,False,74,7,8,56,most_threat,0.6585495968648997,0.6837672111457658,0.10968232722478317,0.432497878330132,0.9986152090913585,1.2816526293804125,0,medium,60.06619256595479,0.6795730709517432,0.7359974570303097,0.5675675675675675,0.22972972972972974,0.20270270270270271,0.3108108108108108,0.35135135135135137,0.33783783783783783,14,0.1891891891891892,2,72,0.02702702702702703,0.7195654859550429,2,1.0
False,False,False,18,2,14,28,most_threat,0.9796834507482048,0.8160797495932287,0.05627159391116174,0.17208922929525938,0.9724026150307366,0.196469984378161,0,tight,60.85455021221966,0.6878915042622006,0.739445197388284,0.3888888888888889,0.5,0.1111111111111111,0.4444444444444444,0.4444444444444444,0.1111111111111111,10,0.5555555555555556,2,16,0.1111111111111111,0.6592800568136257,2,1.0
False,False,True,145,7,18,126,random,0.8182340730676592,0.9908536712605708,0.2365704931502243,0.9425459396769053,0.9442486473572363,1.2168178717600355,0,medium,59.76619736506594,0.6763054013172262,0.7368839847543933,0.47586206896551725,0.32413793103448274,0.2,0.4068965517241379,0.2827586206896552,0.3103448275862069,54,0.3724137931034483,18,127,0.12413793103448276,0.6489947528895017,18,1.0
True,False,True,343,7,11,77,fastest_first,0.8487923160375497,0.9409877775703037,0.05632208683394377,0.34337778957457255,0.8761873830382536,0.8705854483752682,0,tight,60.93911983474675,0.6781863389496562,0.7500290193233365,0.49854227405247814,0.31486880466472306,0.18658892128279883,0.3236151603498542,0.358600583090379,0.3177842565597668,127,0.37026239067055394,47,296,0.13702623906705538,0.6500720441762388,47,1.0
False,False,False,189,9,12,108,random,0.8281831661151444,0.546211458452535,0.21846040753174267,0.8059529683774829,0.9354881946297908,0.3980353840299742,0,medium,61.35457157706299,0.6798643275660458,0.7519100308970216,0.5238095238095238,0.291005291005291,0.18518518518518517,0.30687830687830686,0.35978835978835977,0.3333333333333333,48,0.25396825396825395,24,165,0.12698412698412698,0.6547851194418229,24,1.0
False,True,False,168,2,6,12,random,0.7216818072540014,0.8271966824152874,0.00797513243037487,0.04126974737462186,0.8933923532206782,0.9436859496752275,0,medium,62.36556423911073,0.6797933463145066,0.7563675546554387,0.4880952380952381,0.30357142857142855,0.20833333333333334,0.2916666666666667,0.3392857142857143,0.36904761904761907,133,0.7916666666666666,12,156,0.07142857142857142,0.7036367765129027,12,1.0
False,False,False,20,9,13,117,most_threat,0.6527658633642891,0.6701441032098123,0.1311655633747316,0.15870271235833644,0.9061642926880437,0.6860475455627806,0,spread,57.560406178614144,0.6657942737120667,0.7250495109739031,0.35,0.5,0.15,0.3,0.4,0.3,5,0.25,1,19,0.05,0.6869091944484017,1,1.0
False,False,False,104,10,8,80,random,0.7396477080577007,0.8840407035217686,0.15127245829938457,0.8450986545742005,0.9966845733119789,0.9849412452644706,0,spread,61.817042258692254,0.7067152608924737,0.7283425989508417,0.625,0.2403846153846154,0.1346153846153846,0.38461538461538464,0.2980769230769231,0.3173076923076923,34,0.3269230769230769,17,87,0.16346153846153846,0.6137492676017022,17,1.0
False,False,True,152,9,12,108,random,0.8856051204993072,0.5515763303832834,0.005997075569745844,0.8255802019124392,0.8990099507809834,1.3214820774676879,1,spread,59.19710906140417,0.67719132838314,0.7489190554858092,0.5,0.2894736842105263,0.21052631578947367,0.4473684210526316,0.27631578947368424,0.27631578947368424,41,0.26973684210526316,0,152,0.0,0.7489190554858092,0,0.0
False,False,False,69,7,11,77,fastest_first,0.9751954110888225,0.8266576123845732,0.12523308707372272,0.9640207229572282,0.9082285264878613,1.5230146193530474,0,medium,60.20297720672655,0.691416136457574,0.7619962408807607,0.5507246376811594,0.30434782608695654,0.14492753623188406,0.30434782608695654,0.3333333333333333,0.36231884057971014,22,0.3188405797101449,11,58,0.15942028985507245,0.6349050362394204,11,1.0
False,True,False,115,4,9,36,fastest_first,0.6566779669040926,0.7264664352867265,0.08802439492745442,0.7597861212004047,0.9619342946101768,0.36258494402782504,0,medium,62.15529903588873,0.669009187935251,0.750994095795077,0.4434782608695652,0.4,0.1565217391304348,0.3826086956521739,0.33043478260869563,0.28695652173913044,80,0.6956521739130435,36,79,0.3130434782608696,0.5108503097088514,36,1.0
False,False,True,136,4,20,80,fastest_first,0.7664770030699218,0.655804707649569,0.06836594393811532,0.13895826438351822,0.9244931718058328,0.9915052573207097,0,medium,63.354264125822226,0.6905480116037622,0.7474269675041986,0.5661764705882353,0.27205882352941174,0.16176470588235295,0.3382352941176471,0.27941176470588236,0.38235294117647056,33,0.2426470588235294,7,129,0.051470588235294115,0.7080242545216726,7,1.0
False,False,False,71,4,10,40,random,0.6973723700039212,0.6623975327059667,0.016403983902041102,0.6974880565979574,0.9072739504322441,1.888774795452646,1,spread,64.25798702509375,0.6916181443061532,0.7606934604812811,0.6056338028169014,0.3380281690140845,0.056338028169014086,0.352112676056338,0.38028169014084506,0.2676056338028169,15,0.2112676056338028,0,71,0.0,0.7606934604812811,0,0.0
False,True,False,55,8,14,112,most_threat,0.7153924168934911,0.7267361187657725,0.03475003623426852,0.7429812181485331,0.8937716190143874,0.5927544095540964,0,spread,61.99789063856092,0.6699741053745245,0.7548172487272102,0.43636363636363634,0.4,0.16363636363636364,0.3090909090909091,0.34545454545454546,0.34545454545454546,42,0.7636363636363637,25,30,0.45454545454545453,0.40990624493941197,25,1.0
False,True,False,162,10,12,120,most_threat,0.8569192493477484,0.6556284614433481,0.1033027491189606,0.4554006571639151,0.881806831263598,0.5851763244805637,0,medium,59.34508814483023,0.6770397835859909,0.7575373943267462,0.43209876543209874,0.3148148148148148,0.25308641975308643,0.3950617283950617,0.3148148148148148,0.29012345679012347,110,0.6790123456790124,73,89,0.4506172839506173,0.4233601735794868,73,1.0
